0	0.299577	0.299457	0.099932	0.301034	0.100000
10	0.288614	0.256065	0.111690	0.343631	0.100000
20	0.266725	0.195852	0.129066	0.408357	0.100000
30	0.247217	0.146198	0.143231	0.463354	0.100000
40	0.227972	0.107650	0.154267	0.510111	0.100000
50	0.212284	0.079053	0.163787	0.544876	0.100000
60	0.197744	0.057974	0.172409	0.571873	0.100000
70	0.185387	0.042716	0.180310	0.591587	0.100000
80	0.175101	0.031975	0.187548	0.605376	0.100000
90	0.166957	0.023910	0.194895	0.614238	0.100000
100	0.160304	0.018521	0.202021	0.619154	0.100000
110	0.154495	0.014381	0.206693	0.624431	0.100000
120	0.150143	0.011215	0.212942	0.625700	0.100000
130	0.147360	0.009014	0.217918	0.625708	0.100000
140	0.144289	0.006871	0.224232	0.624608	0.100000
150	0.143217	0.005494	0.229105	0.622184	0.100000
160	0.141722	0.004412	0.235508	0.618358	0.100000
170	0.141645	0.003675	0.241728	0.612952	0.100000
180	0.141610	0.002958	0.246668	0.608764	0.100000
190	0.142478	0.002433	0.251877	0.603212	0.100000
200	0.143324	0.001991	0.258113	0.596572	0.100000
210	0.144985	0.001663	0.263111	0.590241	0.100000
220	0.146286	0.001425	0.268438	0.583851	0.100000
230	0.149226	0.001283	0.273575	0.575916	0.100000
240	0.152103	0.001059	0.277911	0.568927	0.100000
250	0.154936	0.000914	0.282569	0.561581	0.100000
260	0.158128	0.000793	0.287405	0.553674	0.100000
270	0.161450	0.000735	0.291175	0.546640	0.100000
280	0.166253	0.000647	0.295216	0.537884	0.100000
290	0.170922	0.000566	0.299427	0.529085	0.100000
300	0.176081	0.000537	0.303802	0.519580	0.100000
310	0.181453	0.000435	0.307049	0.511063	0.100000
320	0.187042	0.000393	0.310150	0.502415	0.100000
330	0.192878	0.000326	0.311847	0.494949	0.100000
340	0.199142	0.000310	0.312901	0.487647	0.100000
350	0.206722	0.000252	0.314308	0.478718	0.100000
360	0.213899	0.000217	0.314500	0.471384	0.100000
370	0.220848	0.000193	0.316281	0.462678	0.100000
380	0.228773	0.000157	0.317341	0.453729	0.100000
390	0.237284	0.000135	0.316729	0.445852	0.100000
400	0.245818	0.000121	0.316412	0.437649	0.100000
410	0.254473	0.000099	0.315370	0.430058	0.100000
420	0.263220	0.000080	0.313597	0.423103	0.100000
430	0.272774	0.000086	0.311862	0.415278	0.100000
440	0.281996	0.000045	0.310296	0.407663	0.100000
450	0.292129	0.000055	0.307432	0.400384	0.100000
460	0.302124	0.000048	0.304362	0.393466	0.100000
470	0.312618	0.000039	0.300692	0.386651	0.100000
480	0.322910	0.000031	0.297270	0.379789	0.100000
490	0.334463	0.000027	0.292649	0.372861	0.100000
500	0.345404	0.000021	0.288407	0.366168	0.100000
510	0.355728	0.000023	0.284319	0.359930	0.100000
520	0.366580	0.000023	0.279164	0.354233	0.100000
530	0.377877	0.000020	0.272724	0.349379	0.100000
540	0.388717	0.000019	0.267338	0.343926	0.100000
550	0.400002	0.000021	0.261102	0.338875	0.100000
560	0.410794	0.000019	0.254760	0.334427	0.100000
570	0.420809	0.000026	0.249518	0.329647	0.100000
580	0.430839	0.000021	0.243710	0.325430	0.100000
