0	0.112313	0.112705	0.112246	0.112163	0.099932	0.112777	0.112658	0.112742	0.112464	0.100000
10	0.115802	0.097994	0.091092	0.144244	0.141493	0.116834	0.099831	0.085491	0.107219	0.100000
20	0.116602	0.072345	0.066273	0.174955	0.196247	0.107115	0.091887	0.060366	0.114210	0.100000
30	0.114449	0.051470	0.047354	0.198925	0.248136	0.094407	0.082148	0.040623	0.122488	0.100000
40	0.111013	0.035512	0.034406	0.218523	0.295128	0.079275	0.070434	0.027130	0.128579	0.100000
50	0.107683	0.023991	0.024527	0.233715	0.335953	0.065879	0.059168	0.017143	0.131941	0.100000
60	0.102784	0.015943	0.017700	0.245895	0.369075	0.055024	0.048341	0.010936	0.134302	0.100000
70	0.097254	0.010379	0.012713	0.254670	0.397824	0.045617	0.039193	0.007112	0.135238	0.100000
80	0.091284	0.007025	0.009484	0.262359	0.421142	0.038543	0.031274	0.004389	0.134500	0.100000
90	0.085257	0.004623	0.006935	0.268717	0.441607	0.032295	0.024838	0.002803	0.132925	0.100000
0	0.099185	0.100141	0.099713	0.100157	0.200368	0.100010	0.100465	0.100042	0.099919	0.200000
10	0.094464	0.077649	0.076883	0.129515	0.281085	0.107856	0.079925	0.067202	0.085421	0.200000
20	0.084963	0.049061	0.050649	0.157234	0.367791	0.100719	0.064938	0.040177	0.084468	0.200000
30	0.074196	0.029102	0.033094	0.178709	0.438086	0.089654	0.051504	0.022259	0.083396	0.200000
40	0.063795	0.016945	0.021832	0.195102	0.490337	0.078261	0.039467	0.012152	0.082109	0.200000
50	0.054827	0.009694	0.014022	0.209305	0.527162	0.068431	0.029701	0.006676	0.080182	0.200000
60	0.046176	0.005626	0.009639	0.223675	0.553587	0.058927	0.022019	0.003607	0.076744	0.200000
70	0.039042	0.003014	0.006558	0.235715	0.572860	0.050996	0.016049	0.002010	0.073756	0.200000
80	0.033563	0.001719	0.004520	0.246943	0.586221	0.044078	0.011480	0.001084	0.070392	0.200000
90	0.028603	0.001080	0.003129	0.257893	0.595000	0.038618	0.008434	0.000692	0.066551	0.200000
0	0.087310	0.087769	0.087682	0.087193	0.300165	0.087571	0.087699	0.087464	0.087147	0.300000
10	0.076149	0.061692	0.061602	0.114141	0.411160	0.095618	0.061536	0.050448	0.067654	0.300000
20	0.061625	0.033146	0.036916	0.136453	0.511569	0.090102	0.043930	0.025421	0.060838	0.300000
30	0.048535	0.017226	0.021841	0.153829	0.580124	0.081196	0.030007	0.012165	0.055077	0.300000
40	0.037570	0.008694	0.012940	0.168372	0.623524	0.071879	0.020511	0.005801	0.050709	0.300000
50	0.028683	0.004244	0.007833	0.180730	0.651800	0.063790	0.013813	0.002765	0.046342	0.300000
